SMILES,Predicted_KIBA_Score,PubChem_CID,Rank
C[C@@](N(C(=O)[C@H](F)Cl)c1ccc(cc1)-c1ccno1)(C(=O)NC1CCC(F)(F)CC1)c1cncnc1 |r|,12.120015,168511456.0,41
CNS(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,12.116633,156906290.0,42
CCN(C)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,12.116559,169423141.0,43
CCC(C)Oc1cc(Oc2ccccc2)c(C)cc1NC(=O)c1c(O)nn2ccccc12,12.108665,163299021.0,44
Clc1ccc2CN(C[C@H](C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1CS(=O)(=O)C1,12.104076,169423268.0,45
Clc1ccc2CN(C[C@H](C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CCOCC1)C#N,12.1032505,169423260.0,46
Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)C1CCOC1,12.095633,156906297.0,47
CC(C)c1cc2CCC3C(C)(C)CCCC3(C)c2cc1O,12.091676,521330.0,48
CN(C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cc(C#Cc2cnc3ccccc3c2)c2c(N)ncnc12)S(=O)(=O)c1ccc(C)c(c1)[N+]([O-])=O,12.075008,172463075.0,49
[Na+].CC(C)C[C@H](NC(=O)OC1CC2(C1)CN(C2)C(=O)OC(C)(C)C)C(=O)N[C@@H](C[C@H]1CCNC1=O)C(=O)C(O)S([O-])(=O)=O,12.066566,172675998.0,50
CC(C)C[C@H](N(C)C(=O)c1cc2c(OC(F)(F)F)cccc2[nH]1)C(=O)N1C[C@]2(CC1C#N)C(=O)Nc1ccccc21,12.063765,165414272.0,51
CC(C)C[C@H](N(C)C(=O)c1cc2c(OC(F)(F)F)cccc2[nH]1)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc21,12.059848,163373590.0,52
CN(C)CCCN1CCN(CC1)C(=O)C[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCc1ccc(cc1)C(N)=N |r|,12.05538,56659849.0,53
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCn2cc(Cn3c(=O)[nH]\c(=N/c4cc5cn(C)nc5cc4Cl)n(Cc4cc(F)c(F)cc4F)c3=O)nn2)C(C)(C)C)cc1 |r|,12.053923,168511391.0,54
COc1ccc(c(OC)c1)-n1[se]c2ccccc2c1=O,12.053323,88621393.0,55
C#CCNC(=O)CNC(=O)CN(C3CCN(C(c1cccc2ccccc12)C(F)(F)F)CC3)S(C)(=O)=O,12.05317,168940131.0,56
